key,status,title,crossref_title,overlap
Akyildiz2002Survey,probable_real,A Survey on Sensor Networks,A survey on sensor networks,1.000
Rault2016Energy,probable_real,Energy Efficiency in Wireless Sensor Networks: A Top-Down Survey,Energy efficiency in wireless sensor networks: A top-down survey,1.000
Kandris2020,probable_real,Power Conservation through Energy Efficient Routing in Wireless Sensor Networks,Power Conservation through Energy Efficient Routing in Wireless Sensor Networks,1.000
Heinzelman2000LEACH,probable_real,Energy-Efficient Communication Protocol for Wireless Microsensor Networks,Energy-efficient communication protocol for wireless microsensor networks,1.000
Lindsey2002PEGASIS,probable_real,PEGASIS: Power-Efficient Gathering in Sensor Information Systems,PEGASIS: Power-efficient gathering in sensor information systems,1.000
Younis2004HEED,probable_real,"HEED: A Hybrid, Energy-Efficient, Distributed Clustering Approach for Ad Hoc Sensor Networks","HEED: a hybrid, energy-efficient, distributed clustering approach for ad hoc sensor networks",1.000
Manjeshwar2001TEEN,probable_real,TEEN: A Routing Protocol for Enhanced Efficiency in Wireless Sensor Networks,TEEN: a routing protocol for enhanced efficiency in wireless sensor networks,1.000
Zuniga2004,probable_real,Analyzing the Transitional Region in Low Power Wireless Links,Analyzing the transitional region in low power wireless links,1.000
Zuniga2007Asymmetry,probable_real,An Analysis of Unreliability and Asymmetry in Low-Power Wireless Links,An analysis of unreliability and asymmetry in low-power wireless links,1.000
Baccour2012RLQE,probable_real,Radio Link Quality Estimation in Wireless Sensor Networks,Radio link quality estimation in wireless sensor networks,1.000
Heinzelman2002LEACH,probable_real,An Application-Specific Protocol Architecture for Wireless Microsensor Networks,An application-specific protocol architecture for wireless microsensor networks,1.000
Ren2024,probable_real,MeFi: Mean Field Reinforcement Learning for Cooperative Routing in Wireless Sensor Network,MeFi: Mean Field Reinforcement Learning for Cooperative Routing in Wireless Sensor Network,1.000
Okine2024,probable_real,Multi-Agent Deep Reinforcement Learning for Packet Routing in Tactical Mobile Sensor Networks,Multi-Agent Deep Reinforcement Learning for Packet Routing in Tactical Mobile Sensor Networks,1.000
Chen2019Survey,probable_real,Machine learning algorithms for wireless sensor networks: A survey,Machine learning algorithms for wireless sensor networks: A survey,1.000
Naeem2024DRL,probable_real,Security Enhancement for Deep Reinforcement Learning-Based Strategy in Energy-Efficient Wireless Sensor Networks,Security Enhancement for Deep Reinforcement Learning-Based Strategy in Energy-Efficient Wireless Sensor Networks,1.000
Zhang2024DRL,probable_real,Deep Reinforcement Learning-Based Routing Protocol for Energy Harvesting Wireless Sensor Networks,Hybrid deep marine reinforcement learning-based routing protocol in wireless sensor networks,0.692
Li2023Reinforcement,probable_real,Reinforcement Learning-Based Adaptive Routing for Dynamic Wireless Sensor Networks,Reinforcement Learning-Based Adaptive Stateless Routing for Ambient Backscatter Wireless Sensor Networks,0.667
ElFouly2023ILP,probable_real,Environment-Aware Energy Efficient and Reliable Routing in Real-Time Multi-Sink Wireless Sensor Networks for Smart Cities Applications,Environment-Aware Energy Efficient and Reliable Routing in Real-Time Multi-Sink Wireless Sensor Networks for Smart Cities Applications,1.000
Dan2024EMRAR,probable_real,An Accuracy-Aware Energy-Efficient Multipath Routing Algorithm for WSNs,An Accuracy-Aware Energy-Efficient Multipath Routing Algorithm for WSNs,1.000
Bhukya2025Hybrid,probable_real,Hybrid Reliable Clustering Algorithm with Heterogeneous Traffic Routing for Wireless Sensor Networks,Hybrid Reliable Clustering Algorithm with Heterogeneous Traffic Routing for Wireless Sensor Networks,1.000
Kaddi2024GWOCSMA,probable_real,Energy-Efficient Clustering in Wireless Sensor Networks Using Grey Wolf Optimization and Enhanced CSMA/CA,Energy‐Efficient Clustering in Wireless Sensor Networks Using Grey Wolf Optimization and Enhanced CSMA/CA,1.000
Lin2024CoopARQ,probable_real,Cooperative Automatic Repeat Request for Energy-Efficient Wireless Sensor Networks: A Survey,Designing energy efficient automatic repeat request protocol in wireless sensor networks,0.667
Wang2024Geographic,probable_real,Energy-Efficient and Highly Reliable Geographic Routing Based on Link Detection and Node Collaborative Scheduling in WSN,Energy-Efficient and Highly Reliable Geographic Routing Based on Link Detection and Node Collaborative Scheduling in WSN,1.000
Liu2024LSTM,probable_real,LSTM-Based Link Quality Prediction for Industrial Wireless Sensor Networks,Recurrent Neural Network Based Link Quality Prediction for Wireless Sensor Networks,0.583
Qin2024NLOSError,probable_real,Enhancing Performance for Wireless Location: Leveraging Linear Trend and Uncertainty Inherent in NLOS Error,Enhancing Performance for Wireless Location: Leveraging Linear Trend and Uncertainty Inherent in NLOS Error,1.000
Sharma2024QoS,probable_real,QoS-Aware Energy-Efficient Routing Protocol for Wireless Multimedia Sensor Networks,Energy-efficient and QoS-aware routing protocol for wireless sensor networks,0.889
Ogundile2025PPRP,probable_real,Path Priority Routing Protocol for Underwater Wireless Sensor Network,Path Priority Routing Protocol for Underwater Wireless Sensor Network,1.000
Singh2025Enhanced,probable_real,Enhanced Energy-Aware Routing Protocol with Mobile Sink Optimization for Wireless Sensor Networks,Enhanced energy-aware routing protocol with mobile sink optimization for wireless sensor networks,1.000
Tossa2025Deployment,probable_real,"Wireless Sensor Network Deployment: Architecture, Objectives, and Methodologies","Wireless Sensor Network Deployment: Architecture, Objectives, and Methodologies",1.000
Wang2024EECR,probable_real,Energy-Efficient Cluster-Based Routing Protocol Using Improved Particle Swarm Optimization for Wireless Sensor Networks,Cluster Based Improved Particle Swarm Optimization for Optimum Cluster Head Election for Energy Efficient Routing in Wireless Sensor Networks,0.706
