key,status,doi_in_bib,candidate_doi,title_overlap,title,notes
Akyildiz2002Survey,missing_doi_candidate,,10.1109/mcom.2002.1024422,1.000,A Survey on Sensor Networks,add candidate DOI manually after spot-check
Rault2016Energy,missing_doi_candidate,,10.1016/j.comnet.2014.03.027,1.000,Energy Efficiency in Wireless Sensor Networks: A Top-Down Survey,add candidate DOI manually after spot-check
Kandris2020,missing_doi_candidate,,10.3390/s90907320,0.900,Power Conservation through Energy Efficient Routing in Wireless Sensor Networks: A Survey,add candidate DOI manually after spot-check
Heinzelman2000LEACH,missing_doi_candidate,,10.1109/hicss.2000.926982,1.000,Energy-Efficient Communication Protocol for Wireless Microsensor Networks,add candidate DOI manually after spot-check
Lindsey2002PEGASIS,missing_doi_candidate,,10.1109/aero.2002.1035242,1.000,PEGASIS: Power-Efficient Gathering in Sensor Information Systems,add candidate DOI manually after spot-check
Younis2004HEED,missing_doi_candidate,,10.1109/tmc.2004.41,1.000,"HEED: A Hybrid, Energy-Efficient, Distributed Clustering Approach for Ad Hoc Sensor Networks",add candidate DOI manually after spot-check
Manjeshwar2001TEEN,missing_doi_candidate,,10.1109/ipdps.2001.925197,1.000,TEEN: A Routing Protocol for Enhanced Efficiency in Wireless Sensor Networks,add candidate DOI manually after spot-check
Zuniga2004,missing_doi_candidate,,10.1109/sahcn.2004.1381954,1.000,Analyzing the Transitional Region in Low Power Wireless Links,add candidate DOI manually after spot-check
Zuniga2007Asymmetry,missing_doi_candidate,,10.1145/1240226.1240227,1.000,An Analysis of Unreliability and Asymmetry in Low-Power Wireless Links,add candidate DOI manually after spot-check
Baccour2012RLQE,missing_doi_candidate,,10.1145/2240116.2240123,1.000,Radio Link Quality Estimation in Wireless Sensor Networks,add candidate DOI manually after spot-check
Heinzelman2002LEACH,missing_doi_candidate,,10.1109/twc.2002.804190,1.000,An Application-Specific Protocol Architecture for Wireless Microsensor Networks,add candidate DOI manually after spot-check
Ren2024,missing_doi_candidate,,10.1109/jiot.2023.3289888,0.818,MeFi: Mean Field Reinforcement Learning for Cooperative Routing in Wireless Sensor Networks,add candidate DOI manually after spot-check
Okine2024,missing_doi_candidate,,10.1109/tnsm.2024.3352014,1.000,Multi-Agent Deep Reinforcement Learning for Packet Routing in Tactical Mobile Sensor Networks,add candidate DOI manually after spot-check
Chen2023Survey,missing_doi_no_candidate,,10.1016/j.inffus.2018.03.005,0.571,"A Comprehensive Survey on Machine Learning for Wireless Sensor Networks: Applications, Challenges, and Future Directions",
ElFouly2023ILP,missing_doi_candidate,,10.3390/app13010605,1.000,Environment-Aware Energy Efficient and Reliable Routing in Real-Time Multi-Sink Wireless Sensor Networks for Smart Cities Applications,add candidate DOI manually after spot-check
Dan2024EMRAR,missing_doi_candidate,,10.3390/s24010285,1.000,An Accuracy-Aware Energy-Efficient Multipath Routing Algorithm for WSNs,add candidate DOI manually after spot-check
Bhukya2025Hybrid,missing_doi_candidate,,10.3390/s25030864,1.000,Hybrid Reliable Clustering Algorithm with Heterogeneous Traffic Routing for Wireless Sensor Networks,add candidate DOI manually after spot-check
Liu2018Environment,missing_doi_candidate,,10.4304/jcm.1.2.12-21,0.700,Environment-Adaptive Routing in Wireless Sensor Networks Based on Machine Learning,add candidate DOI manually after spot-check
Zhao2019Context,missing_doi_candidate,,10.23919/softcom50211.2020.9238249,0.750,Context-Aware Routing Protocols for Vehicular Sensor Networks: A Survey,add candidate DOI manually after spot-check
