claim_id,v19_location,claim_type,claim_text,metric,environment,num_nodes,protocol,v19_value,canonical_file,canonical_key,match,severity,note,cross_check
C01,tab:pdr100 L111,table_value,AERIS indoor_office PDR at 100 nodes,pdr_expected,indoor_office,100,AERIS,0.9739±0.0047,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=AERIS ablation_config=full env=indoor_office mean(pdr_expected)=0.9739,YES,,n=30 seeds 42001-42030; W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12) protocol=AERIS
C02,tab:pdr100 L111,table_value,LEACH indoor_office PDR at 100 nodes,pdr_expected,indoor_office,100,LEACH,0.5543±0.0401,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=LEACH env=indoor_office mean(pdr_expected)=0.5543,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C03,tab:pdr100 L111,table_value,PEGASIS indoor_office PDR at 100 nodes,pdr_expected,indoor_office,100,PEGASIS,0.9078±0.0166,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=PEGASIS env=indoor_office mean(pdr_expected)=0.9078,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C04,tab:pdr100 L111,table_value,HEED indoor_office PDR at 100 nodes,pdr_expected,indoor_office,100,HEED,0.9371±0.0076,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=HEED env=indoor_office mean(pdr_expected)=0.9371,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C05,tab:pdr100 L111,table_value,TEEN indoor_office PDR at 100 nodes,pdr_expected,indoor_office,100,TEEN,0.8222±0.0044,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=TEEN env=indoor_office mean(pdr_expected)=0.8222,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C06,tab:pdr100 L112,table_value,AERIS indoor_factory PDR at 100 nodes,pdr_expected,indoor_factory,100,AERIS,0.6031±0.0258,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=AERIS ablation_config=full env=indoor_factory mean(pdr_expected)=0.6031,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12) protocol=AERIS
C07,tab:pdr100 L112,table_value,LEACH indoor_factory PDR at 100 nodes,pdr_expected,indoor_factory,100,LEACH,0.1614±0.0209,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=LEACH env=indoor_factory mean(pdr_expected)=0.1614,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C08,tab:pdr100 L112,table_value,PEGASIS indoor_factory PDR at 100 nodes,pdr_expected,indoor_factory,100,PEGASIS,0.1928±0.0255,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=PEGASIS env=indoor_factory mean(pdr_expected)=0.1928,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C09,tab:pdr100 L112,table_value,HEED indoor_factory PDR at 100 nodes,pdr_expected,indoor_factory,100,HEED,0.2326±0.0263,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=HEED env=indoor_factory mean(pdr_expected)=0.2326,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C10,tab:pdr100 L112,table_value,TEEN indoor_factory PDR at 100 nodes,pdr_expected,indoor_factory,100,TEEN,0.3113±0.0245,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=TEEN env=indoor_factory mean(pdr_expected)=0.3113,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C11,tab:pdr100 L113,table_value,AERIS outdoor_urban PDR at 100 nodes,pdr_expected,outdoor_urban,100,AERIS,0.3745±0.0354,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=AERIS ablation_config=full env=outdoor_urban mean(pdr_expected)=0.3745,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12) protocol=AERIS
C12,tab:pdr100 L113,table_value,LEACH outdoor_urban PDR at 100 nodes,pdr_expected,outdoor_urban,100,LEACH,0.0552±0.0127,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=LEACH env=outdoor_urban mean(pdr_expected)=0.0552,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C13,tab:pdr100 L113,table_value,PEGASIS outdoor_urban PDR at 100 nodes,pdr_expected,outdoor_urban,100,PEGASIS,0.0542±0.0117,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=PEGASIS env=outdoor_urban mean(pdr_expected)=0.0542,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
