figure,asset,manuscript_section,statistic_object,data_sources,notes
Figure 1 (workflow),fig0_aeris_workflow_20260301_s93.pdf,Section 3.6,Round-level control-flow diagram,for_submission/figures/fig0_aeris_workflow_v90.drawio,Diagram only; no numeric statistic
Figure 2 (100-node panel),fig1_env_pdr_panel_20260301_s93.pdf,Section 5.1,PDR mean and standard deviation at 100 nodes,results/mega_experiments/env_sensitivity_20260207_205317.json,"Descriptive comparison, n=30 per environment-protocol cell"
Figure 3 (ablation panel),fig2_ablation_panel_20260301_s93.pdf,Section 5.2,Full vs no_gateway/no_cas deltas,results/mega_experiments/ablation_diag_multi_20260207_205448.json,"Ablation diagnostics, n=30"
Figure 4 (primary scalability),fig3_scalability_panel_20260301_s93.pdf,Section 5.3,PDR trends across 100-1000 nodes,results/mega_experiments/scalability_4env_v50rigor_20260222_descriptive.csv,"Primary large-scale matrix, n=3200 per cell"
Figure 5 (S11 matched stress),fig5_s11_patch_control_delta_20260301_s93.pdf,Section 5.6,Patch-control deltas (matched),results/mega_experiments/s11_matched_4env_patch_vs_control_20260217_delta.csv; results/mega_experiments/s11_matched_4env_patch_vs_control_20260217_significance.csv,"Matched stress-delta matrix B (patch n=1000 vs control n=1000)"
Figure 6 (S10 delta maps),fig6_s10_delta_maps_20260301_s93.pdf,Section 5.5,Pairwise tx-power deltas across all cells,results/mega_experiments/s10r_4env_significance_tx5_vs_tx10_vs_tx15_20260227.csv,"Sensitivity matrix: 4 env x 3 tx pairs x 5 protocols x 6 nodes"
Figure 7 (NS-3 trend panel),fig7_ns3_trend_panel_20260301_s93.pdf,Section 5.8,Primary inferential pair AERIS vs LEACH with context overlays,ns3_validation/results/ns3_scale_ext_1000_significance.csv; ns3_validation/results/ns3_5proto_fullnodes_descriptive_20260226.csv,Inferential statistics are AERIS-vs-LEACH only
Figure 8 (strongest-baseline map),fig8_s8_significance_heatmap_20260301_s93.pdf,Section 5.3,Delta and effect size to strongest baseline per cell,results/mega_experiments/scalability_4env_v50rigor_20260222_significance.csv,Baseline identity tags L/P/H/T displayed in each cell
Figure 9 (S9/S11 consistency),fig9_s9_s11_consistency_20260301_s93.pdf,Supplementary diagnostic,Cross-matrix consistency and AERIS traces,results/mega_experiments/s9_matched_4env_patch_vs_control_20260216_delta.csv; results/mega_experiments/s11_matched_4env_patch_vs_control_20260217_delta.csv,"Diagnostic consistency check; not a primary claim figure"
Figure 10 (S10 absolute profiles),fig10_s10_absolute_profiles_20260301_s93.pdf,Section 5.5,Absolute PDR profiles by tx level,results/mega_experiments/s10r_4env_merged_descriptive_20260227.csv,Companion to Figure 6 (delta maps)
Figure 11 (S11 significance panel),fig11_s11_significance_panel_20260301_s93.pdf,Supplementary diagnostic,Effect-size map and significance counts,results/mega_experiments/s11_matched_4env_patch_vs_control_20260217_significance.csv,Diagnostic panel for matched stress matrix
